Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Latitude,Longitude
RPT-100680,20-08-2025,07-08-2025,21:23,Mumbai,G707,Burglary,29,Male,None,Cyber,4,No,,19.07354709,72.89741536
RPT-100681,28-11-2025,13-11-2025,01:20,Kolkata,F606,Robbery,58,Female,Gun,Private,12,Yes,24:39.5,22.57251717,88.37344459
RPT-100682,27-07-2025,16-07-2025,07:30,Delhi,G707,Fraud,75,Male,Knife,Commercial,21,No,,28.70780563,77.0992916
RPT-100683,24-02-2025,22-02-2025,23:47,Delhi,G707,Theft,37,Male,Poison,Public,25,Yes,24:39.5,28.72216957,77.09581882
RPT-100684,07-02-2025,29-01-2025,17:14,Pune,G707,Kidnapping,46,Other,None,Public,27,No,,18.52453167,73.87019539
RPT-100685,15-04-2025,12-04-2025,01:35,Pune,D404,Kidnapping,72,Female,Knife,Public,1,Yes,24:39.5,18.50640989,73.83908932
RPT-100686,07-04-2025,26-03-2025,15:18,Mumbai,D404,Fraud,56,Male,Unknown,Cyber,27,Yes,24:39.5,19.09231357,72.88210165
RPT-100687,28-09-2025,24-09-2025,04:52,Mumbai,A101,Fraud,69,Other,Poison,Transport,10,Yes,24:39.5,19.09422417,72.87307444
RPT-100688,19-11-2024,09-11-2024,16:08,Pune,G707,Assault,32,Other,Blunt Object,Private,11,No,,18.50765324,73.84462904
RPT-100689,07-08-2025,26-07-2025,22:20,Mumbai,F606,Assault,68,Other,Knife,Residential,1,Yes,24:39.5,19.06547345,72.88478399
RPT-100690,09-07-2025,24-06-2025,16:30,Kolkata,F606,Cyber Crime,80,Male,None,Cyber,5,Yes,24:39.5,22.56805039,88.37508324
RPT-100691,07-01-2025,30-12-2024,02:43,Hyderabad,G707,Assault,65,Female,Blunt Object,Cyber,14,No,,17.39320229,78.49725162
RPT-100692,16-04-2025,09-04-2025,06:34,Chennai,B202,Robbery,45,Female,Knife,Private,4,No,,13.08040318,80.26492366
RPT-100693,07-11-2024,28-10-2024,11:10,Bangalore,F606,Cyber Crime,50,Other,Poison,Residential,9,No,,12.96858158,77.58831048
RPT-100694,13-12-2024,06-12-2024,04:59,Delhi,B202,Theft,52,Female,Gun,Commercial,5,No,,28.70665611,77.1020977
RPT-100695,06-09-2025,03-09-2025,18:02,Delhi,F606,Theft,58,Other,Poison,Cyber,29,Yes,24:39.5,28.68939979,77.11715707
RPT-100696,03-12-2025,18-11-2025,22:23,Bangalore,C303,Burglary,77,Male,None,Private,20,Yes,24:39.5,12.98504724,77.57899892
RPT-100697,07-11-2024,27-10-2024,20:38,Hyderabad,C303,Robbery,14,Other,Gun,Commercial,1,No,,17.38383798,78.48533316
RPT-100698,12-09-2025,29-08-2025,05:42,Delhi,A101,Cyber Crime,32,Female,Knife,Commercial,11,No,,28.70898883,77.11447223
RPT-100699,03-12-2025,18-11-2025,06:56,Chennai,E505,Assault,55,Female,Poison,Residential,5,No,,13.06396084,80.28079602
RPT-100700,09-08-2025,26-07-2025,12:59,Bangalore,F606,Theft,77,Female,Knife,Cyber,28,No,,12.9858915,77.57556249
RPT-100701,21-08-2025,11-08-2025,03:46,Chennai,D404,Burglary,36,Other,Poison,Commercial,24,No,,13.07124554,80.28255837
RPT-100702,10-12-2024,29-11-2024,09:33,Pune,C303,Fraud,74,Male,Blunt Object,Residential,22,No,,18.53266552,73.84476996
RPT-100703,13-06-2025,12-06-2025,10:53,Mumbai,F606,Robbery,19,Female,Poison,Public,2,Yes,24:39.5,19.06877295,72.88766474
RPT-100704,27-07-2025,22-07-2025,04:53,Kolkata,D404,Robbery,24,Male,None,Public,12,No,,22.59051967,88.34791483
RPT-100705,05-02-2025,23-01-2025,22:16,Pune,G707,Fraud,82,Other,Blunt Object,Public,14,No,,18.50845792,73.87298863
RPT-100706,13-10-2025,07-10-2025,14:27,Hyderabad,E505,Burglary,85,Female,Blunt Object,Private,11,Yes,24:39.5,17.40087162,78.47958434
RPT-100707,19-03-2025,14-03-2025,11:09,Mumbai,F606,Fraud,60,Female,Knife,Commercial,22,No,,19.08854048,72.87276667
RPT-100708,14-05-2025,10-05-2025,16:13,Bangalore,B202,Cyber Crime,79,Female,Blunt Object,Private,17,No,,12.97775525,77.58327698
RPT-100709,18-08-2025,06-08-2025,21:01,Chennai,G707,Burglary,63,Female,Poison,Public,23,Yes,24:39.5,13.09573206,80.27349341
RPT-100710,02-12-2024,17-11-2024,15:41,Delhi,E505,Assault,29,Other,Poison,Transport,27,Yes,24:39.5,28.68961055,77.11325739
RPT-100711,03-02-2025,24-01-2025,16:45,Hyderabad,C303,Assault,57,Female,Gun,Private,15,Yes,24:39.5,17.38997352,78.46813797
RPT-100712,28-01-2025,23-01-2025,18:01,Pune,F606,Fraud,65,Female,Gun,Commercial,19,Yes,24:39.5,18.5351737,73.8646236
RPT-100713,09-06-2025,06-06-2025,06:07,Mumbai,G707,Fraud,15,Male,Blunt Object,Cyber,23,No,,19.0670354,72.87384668
RPT-100714,01-02-2025,25-01-2025,22:21,Delhi,C303,Theft,11,Male,None,Transport,25,No,,28.70318872,77.1197449
RPT-100715,22-05-2025,15-05-2025,03:17,Pune,A101,Assault,62,Male,None,Transport,9,No,,18.52804875,73.86197525
RPT-100716,25-08-2025,15-08-2025,11:27,Pune,E505,Fraud,44,Other,Blunt Object,Private,14,No,,18.53592766,73.86898558
RPT-100717,04-08-2025,02-08-2025,18:28,Pune,F606,Fraud,61,Other,None,Cyber,27,Yes,24:39.5,18.50620286,73.84440702
RPT-100718,19-02-2025,18-02-2025,11:34,Delhi,F606,Fraud,42,Other,Knife,Commercial,28,No,,28.71784288,77.11061877
RPT-100719,09-06-2025,05-06-2025,22:08,Chennai,A101,Robbery,69,Male,Knife,Transport,18,Yes,24:39.5,13.09613094,80.26264075
RPT-100720,14-11-2024,04-11-2024,00:57,Bangalore,B202,Assault,75,Male,Blunt Object,Residential,23,No,,12.96412061,77.60450488
RPT-100721,21-09-2025,20-09-2025,02:54,Bangalore,A101,Kidnapping,38,Male,Poison,Public,13,Yes,24:39.5,12.97241976,77.60147314
RPT-100722,23-05-2025,18-05-2025,05:32,Bangalore,A101,Cyber Crime,49,Male,None,Residential,24,No,,12.97845605,77.60495532
RPT-100723,30-10-2025,20-10-2025,16:55,Bangalore,G707,Cyber Crime,75,Male,Blunt Object,Public,29,Yes,24:39.5,12.97258277,77.57983211
RPT-100724,21-12-2024,13-12-2024,03:09,Kolkata,A101,Fraud,42,Female,Unknown,Public,6,Yes,24:39.5,22.56749176,88.38337275
RPT-100725,09-04-2025,28-03-2025,00:26,Mumbai,B202,Cyber Crime,35,Male,Gun,Cyber,25,No,,19.0604512,72.89180085
RPT-100726,11-06-2025,27-05-2025,13:03,Mumbai,B202,Cyber Crime,10,Female,Poison,Residential,16,No,,19.08369385,72.86590061
RPT-100727,04-09-2025,20-08-2025,19:21,Mumbai,G707,Assault,53,Other,Poison,Cyber,25,No,,19.0795737,72.8883652
RPT-100728,02-03-2025,01-03-2025,11:15,Hyderabad,A101,Fraud,38,Female,None,Public,30,No,,17.3689411,78.48780343
RPT-100729,18-08-2025,04-08-2025,19:04,Chennai,E505,Fraud,57,Other,Unknown,Public,14,No,,13.08334376,80.28048337
RPT-100730,24-11-2024,20-11-2024,08:53,Kolkata,A101,Theft,73,Male,Knife,Private,14,No,,22.57160755,88.34725713
RPT-100731,03-04-2025,29-03-2025,17:11,Hyderabad,F606,Kidnapping,43,Male,Gun,Transport,17,Yes,24:39.5,17.39574109,78.50104215
RPT-100732,08-03-2025,28-02-2025,16:39,Bangalore,A101,Cyber Crime,44,Other,Knife,Private,13,Yes,24:39.5,12.98849496,77.60266841
RPT-100733,23-06-2025,08-06-2025,03:28,Kolkata,D404,Burglary,22,Other,Gun,Cyber,17,Yes,24:39.5,22.56198349,88.35730712
RPT-100734,27-04-2025,13-04-2025,10:52,Bangalore,G707,Burglary,73,Male,Poison,Private,6,No,,12.97183449,77.61390058
RPT-100735,20-11-2025,16-11-2025,04:06,Bangalore,C303,Fraud,58,Other,Gun,Private,23,Yes,24:39.5,12.98965475,77.59303774
RPT-100736,11-12-2024,01-12-2024,17:28,Bangalore,F606,Assault,10,Female,Knife,Transport,4,No,,12.97210686,77.58735282
RPT-100737,04-10-2025,02-10-2025,10:11,Pune,E505,Assault,46,Male,Gun,Commercial,28,No,,18.50197945,73.86708146
RPT-100738,29-04-2025,14-04-2025,23:26,Bangalore,B202,Cyber Crime,62,Other,Gun,Cyber,15,No,,12.95745561,77.60723535
RPT-100739,22-11-2025,18-11-2025,00:32,Kolkata,C303,Robbery,62,Male,Blunt Object,Private,12,No,,22.56693026,88.36109153
RPT-100740,11-06-2025,30-05-2025,16:48,Mumbai,G707,Cyber Crime,57,Other,Knife,Private,8,Yes,24:39.5,19.07067811,72.89151253
RPT-100741,26-05-2025,14-05-2025,07:03,Delhi,B202,Kidnapping,59,Male,Knife,Transport,20,No,,28.71792112,77.11850557
RPT-100742,17-05-2025,05-05-2025,21:19,Mumbai,G707,Assault,18,Male,Knife,Residential,24,No,,19.08224062,72.86820845
RPT-100743,31-07-2025,18-07-2025,05:59,Hyderabad,A101,Fraud,53,Female,Poison,Public,14,No,,17.370754,78.47116306
RPT-100744,25-09-2025,21-09-2025,20:09,Chennai,G707,Theft,47,Female,None,Transport,3,No,,13.08807708,80.27988838
RPT-100745,21-02-2025,19-02-2025,09:40,Pune,B202,Cyber Crime,82,Female,Poison,Transport,10,No,,18.52874875,73.86643166
RPT-100746,21-02-2025,15-02-2025,04:23,Delhi,D404,Fraud,25,Other,Unknown,Transport,28,Yes,24:39.5,28.69260681,77.08621819
RPT-100747,29-08-2025,28-08-2025,18:58,Delhi,G707,Burglary,16,Other,Blunt Object,Private,14,Yes,24:39.5,28.70985276,77.08339036
RPT-100748,29-08-2025,16-08-2025,04:19,Pune,E505,Theft,30,Other,None,Cyber,30,No,,18.53400697,73.84685113
RPT-100749,05-01-2025,29-12-2024,07:30,Bangalore,F606,Cyber Crime,12,Other,Gun,Transport,13,No,,12.9681003,77.59748184
RPT-100750,16-06-2025,02-06-2025,02:31,Kolkata,G707,Cyber Crime,55,Other,None,Transport,30,Yes,24:39.5,22.56502443,88.34903672
RPT-100751,15-08-2025,14-08-2025,05:55,Hyderabad,F606,Robbery,46,Male,Poison,Residential,30,No,,17.3712827,78.48485737
RPT-100752,09-01-2025,07-01-2025,11:45,Chennai,F606,Robbery,61,Female,Knife,Private,23,Yes,24:39.5,13.06437654,80.26286986
RPT-100753,01-12-2024,16-11-2024,09:56,Mumbai,C303,Theft,40,Other,None,Public,19,No,,19.06709314,72.86963736
RPT-100754,06-07-2025,04-07-2025,06:49,Hyderabad,A101,Assault,24,Female,Blunt Object,Commercial,10,Yes,24:39.5,17.38943229,78.47402773
RPT-100755,06-12-2024,05-12-2024,06:16,Pune,A101,Fraud,41,Female,Blunt Object,Commercial,29,No,,18.53486456,73.85516046
RPT-100756,27-11-2024,25-11-2024,11:47,Kolkata,A101,Cyber Crime,78,Female,Unknown,Cyber,16,Yes,24:39.5,22.58592939,88.37971698
RPT-100757,27-07-2025,17-07-2025,21:17,Chennai,F606,Assault,64,Female,None,Private,9,Yes,24:39.5,13.09926332,80.25824714
RPT-100758,11-10-2025,03-10-2025,22:09,Mumbai,D404,Kidnapping,25,Male,Unknown,Cyber,29,No,,19.09523298,72.86956529
RPT-100759,13-09-2025,29-08-2025,01:49,Pune,G707,Kidnapping,65,Female,Unknown,Cyber,19,Yes,24:39.5,18.54033421,73.85226552
RPT-100760,17-02-2025,11-02-2025,11:21,Bangalore,F606,Fraud,31,Other,Unknown,Residential,16,No,,12.95565552,77.57942002
RPT-100761,29-03-2025,18-03-2025,08:35,Kolkata,C303,Robbery,56,Male,Poison,Public,13,No,,22.55990268,88.35975776
RPT-100762,09-05-2025,28-04-2025,18:47,Chennai,E505,Robbery,42,Male,Gun,Cyber,7,Yes,24:39.5,13.07457071,80.28118743
RPT-100763,01-05-2025,24-04-2025,01:02,Bangalore,D404,Cyber Crime,72,Other,Blunt Object,Public,29,Yes,24:39.5,12.96320579,77.58258605
RPT-100764,07-11-2024,05-11-2024,12:34,Chennai,F606,Kidnapping,31,Female,Gun,Residential,11,Yes,24:39.5,13.06456078,80.28677717
RPT-100765,20-02-2025,07-02-2025,15:24,Mumbai,C303,Robbery,47,Other,Blunt Object,Commercial,9,No,,19.0870973,72.88628299
RPT-100766,02-10-2025,22-09-2025,19:29,Hyderabad,C303,Fraud,48,Female,Blunt Object,Residential,30,No,,17.3978839,78.4792711
RPT-100767,23-07-2025,21-07-2025,01:53,Pune,E505,Theft,26,Female,Unknown,Cyber,11,Yes,24:39.5,18.51047649,73.85932289
RPT-100768,20-08-2025,08-08-2025,23:56,Chennai,C303,Theft,70,Other,Unknown,Cyber,9,No,,13.06404272,80.27192314
RPT-100769,27-08-2025,14-08-2025,13:12,Bangalore,C303,Burglary,27,Other,None,Private,10,Yes,24:39.5,12.96541344,77.60850738
RPT-100770,05-08-2025,26-07-2025,14:55,Kolkata,G707,Kidnapping,47,Male,Poison,Private,29,No,,22.57735241,88.37802208
RPT-100771,21-11-2025,07-11-2025,06:15,Mumbai,G707,Robbery,82,Female,None,Transport,4,No,,19.0817973,72.88677054
RPT-100772,12-07-2025,06-07-2025,19:39,Mumbai,E505,Fraud,19,Male,Poison,Public,3,Yes,24:39.5,19.09042709,72.88072662
RPT-100773,16-05-2025,06-05-2025,12:09,Hyderabad,B202,Burglary,33,Female,Poison,Public,1,No,,17.39012214,78.50106776
RPT-100774,21-04-2025,15-04-2025,11:07,Chennai,E505,Robbery,68,Female,Knife,Transport,4,Yes,24:39.5,13.08712523,80.28765799
RPT-100775,17-10-2025,10-10-2025,00:48,Pune,G707,Robbery,25,Male,Unknown,Residential,2,Yes,24:39.5,18.53387251,73.86262897
RPT-100776,03-08-2025,23-07-2025,15:09,Delhi,E505,Burglary,28,Male,Gun,Transport,4,Yes,24:39.5,28.7044884,77.10099338
RPT-100777,25-11-2025,19-11-2025,15:39,Hyderabad,A101,Fraud,40,Female,Blunt Object,Public,26,Yes,24:39.5,17.40473998,78.49276608
RPT-100778,02-06-2025,24-05-2025,06:19,Delhi,F606,Kidnapping,78,Female,Blunt Object,Private,28,No,,28.68855343,77.10302432
RPT-100779,07-12-2024,01-12-2024,13:38,Hyderabad,G707,Fraud,25,Female,Gun,Cyber,21,Yes,24:39.5,17.37374222,78.49428182
RPT-100780,01-04-2025,21-03-2025,23:27,Hyderabad,A101,Assault,80,Male,Knife,Public,3,Yes,24:39.5,17.40318955,78.4997158
RPT-100781,29-04-2025,15-04-2025,17:03,Pune,G707,Cyber Crime,54,Female,Unknown,Transport,12,No,,18.52044289,73.85873916
RPT-100782,04-06-2025,27-05-2025,13:57,Bangalore,B202,Fraud,20,Female,Gun,Commercial,8,Yes,24:39.5,12.97616932,77.58848787
RPT-100783,17-01-2025,05-01-2025,04:36,Chennai,F606,Fraud,34,Female,Unknown,Residential,18,No,,13.09876604,80.28604957
RPT-100784,19-05-2025,07-05-2025,18:49,Hyderabad,D404,Burglary,14,Male,Unknown,Commercial,2,No,,17.36765473,78.47491574
RPT-100785,08-05-2025,26-04-2025,02:28,Mumbai,C303,Theft,56,Male,Blunt Object,Public,17,Yes,24:39.5,19.06897445,72.85968521
RPT-100786,18-02-2025,11-02-2025,05:42,Hyderabad,B202,Fraud,79,Other,Gun,Private,14,No,,17.36540803,78.49387372
RPT-100787,28-10-2025,23-10-2025,01:09,Kolkata,D404,Cyber Crime,85,Female,Blunt Object,Transport,19,No,,22.56852107,88.37428192
RPT-100788,06-12-2025,26-11-2025,02:02,Hyderabad,A101,Cyber Crime,85,Female,Gun,Commercial,16,No,,17.3674436,78.50295947
RPT-100789,01-09-2025,19-08-2025,06:30,Bangalore,E505,Cyber Crime,75,Male,Gun,Residential,19,No,,12.9813518,77.61443112
RPT-100790,03-09-2025,31-08-2025,09:40,Kolkata,D404,Burglary,52,Female,Unknown,Private,8,No,,22.57435176,88.3448599
RPT-100791,16-03-2025,12-03-2025,00:45,Mumbai,G707,Theft,37,Male,Knife,Transport,10,Yes,24:39.5,19.07802441,72.86841479
RPT-100792,06-11-2024,22-10-2024,12:17,Hyderabad,G707,Fraud,42,Female,Unknown,Cyber,17,Yes,24:39.5,17.37047907,78.48416377
RPT-100793,26-09-2025,25-09-2025,15:04,Hyderabad,G707,Kidnapping,43,Male,Gun,Commercial,28,No,,17.38937314,78.48947817
RPT-100794,15-05-2025,10-05-2025,04:19,Hyderabad,E505,Burglary,76,Other,Gun,Residential,14,Yes,24:39.5,17.39196557,78.49870473
RPT-100795,29-07-2025,20-07-2025,12:13,Chennai,C303,Cyber Crime,83,Female,Unknown,Cyber,19,No,,13.08555411,80.26136418
RPT-100796,13-01-2025,29-12-2024,00:52,Pune,E505,Robbery,62,Male,None,Residential,13,Yes,24:39.5,18.51459713,73.8419985
RPT-100797,20-12-2024,17-12-2024,13:33,Mumbai,E505,Robbery,69,Female,Poison,Commercial,9,No,,19.06531286,72.86022358
RPT-100798,20-11-2025,19-11-2025,04:19,Chennai,D404,Assault,41,Female,None,Transport,11,No,,13.09597706,80.26535772
RPT-100799,10-10-2025,26-09-2025,14:04,Delhi,B202,Fraud,43,Female,Blunt Object,Cyber,30,No,,28.71573971,77.08442653
RPT-100800,17-06-2025,03-06-2025,17:51,Delhi,B202,Theft,48,Male,Blunt Object,Transport,13,No,,28.71625514,77.11263067
RPT-100801,22-05-2025,10-05-2025,22:13,Chennai,F606,Kidnapping,26,Other,Gun,Commercial,4,Yes,24:39.5,13.07588233,80.25829088
RPT-100802,29-06-2025,17-06-2025,04:33,Chennai,D404,Assault,70,Male,None,Commercial,13,No,,13.09904945,80.25950938
RPT-100803,13-06-2025,09-06-2025,07:57,Kolkata,G707,Assault,12,Female,Unknown,Public,5,Yes,24:39.5,22.56642343,88.35579802
RPT-100804,16-02-2025,13-02-2025,16:37,Chennai,D404,Theft,29,Other,Poison,Residential,16,Yes,24:39.5,13.07147028,80.25744037
RPT-100805,22-06-2025,18-06-2025,07:14,Mumbai,D404,Assault,58,Male,Knife,Commercial,20,Yes,24:39.5,19.08588976,72.87115112
RPT-100806,25-09-2025,13-09-2025,08:05,Kolkata,G707,Kidnapping,10,Male,Knife,Private,20,Yes,24:39.5,22.56865637,88.36793037
RPT-100807,13-09-2025,29-08-2025,13:03,Kolkata,D404,Robbery,34,Male,Blunt Object,Residential,19,Yes,24:39.5,22.58706382,88.37796884
RPT-100808,30-10-2025,23-10-2025,13:12,Kolkata,C303,Cyber Crime,70,Female,Blunt Object,Commercial,11,Yes,24:39.5,22.55486533,88.36611052
RPT-100809,16-04-2025,01-04-2025,01:10,Hyderabad,F606,Cyber Crime,21,Other,None,Commercial,5,Yes,24:39.5,17.39809854,78.49548577
RPT-100810,19-06-2025,08-06-2025,13:49,Hyderabad,A101,Kidnapping,34,Female,Knife,Public,18,No,,17.38789484,78.47840668
RPT-100811,26-08-2025,18-08-2025,01:38,Delhi,D404,Burglary,60,Female,Blunt Object,Private,29,No,,28.69676665,77.12023776
RPT-100812,20-08-2025,19-08-2025,00:00,Bangalore,G707,Assault,41,Female,Knife,Residential,4,Yes,24:39.5,12.95462504,77.60298035
RPT-100813,23-08-2025,11-08-2025,05:07,Pune,E505,Fraud,25,Female,Poison,Commercial,17,Yes,24:39.5,18.53335696,73.86861966
RPT-100814,21-07-2025,13-07-2025,22:08,Delhi,F606,Burglary,27,Male,Blunt Object,Public,12,No,,28.71431409,77.11737404
RPT-100815,17-07-2025,07-07-2025,18:47,Pune,F606,Theft,69,Male,Gun,Private,22,No,,18.5060708,73.86853519
RPT-100816,07-07-2025,29-06-2025,02:55,Bangalore,D404,Cyber Crime,43,Male,Unknown,Cyber,1,No,,12.98842157,77.60506141
RPT-100817,22-01-2025,09-01-2025,08:18,Chennai,F606,Kidnapping,61,Male,Blunt Object,Commercial,27,Yes,24:39.5,13.08945683,80.27586359
RPT-100818,18-07-2025,06-07-2025,12:02,Chennai,F606,Burglary,30,Female,Blunt Object,Public,20,Yes,24:39.5,13.07204198,80.27750614
RPT-100819,14-05-2025,05-05-2025,10:41,Pune,G707,Robbery,31,Other,Blunt Object,Residential,19,No,,18.53408155,73.85452258
RPT-100820,28-09-2025,14-09-2025,10:44,Mumbai,B202,Theft,37,Female,Gun,Cyber,30,No,,19.07753771,72.87005742
RPT-100821,06-04-2025,27-03-2025,21:38,Bangalore,E505,Kidnapping,42,Male,Poison,Commercial,8,No,,12.98806938,77.61142644
RPT-100822,09-11-2024,26-10-2024,07:50,Delhi,C303,Robbery,66,Male,Knife,Public,1,No,,28.6986618,77.10353934
RPT-100823,16-09-2025,04-09-2025,10:01,Hyderabad,C303,Robbery,38,Male,None,Commercial,6,Yes,24:39.5,17.36625178,78.46807359
RPT-100824,28-06-2025,25-06-2025,07:29,Pune,C303,Cyber Crime,74,Male,Poison,Public,12,Yes,24:39.5,18.51654571,73.84196996
RPT-100825,23-05-2025,16-05-2025,02:01,Delhi,G707,Fraud,50,Male,Blunt Object,Residential,5,No,,28.70785789,77.08521381
RPT-100826,24-01-2025,09-01-2025,07:04,Mumbai,A101,Fraud,77,Other,Knife,Private,11,Yes,24:39.5,19.07791162,72.86769937
RPT-100827,17-02-2025,05-02-2025,09:29,Bangalore,G707,Kidnapping,84,Other,Knife,Transport,10,No,,12.96528152,77.5978865
RPT-100828,09-11-2024,30-10-2024,10:40,Delhi,B202,Kidnapping,85,Other,Gun,Transport,9,Yes,24:39.5,28.71968104,77.11080731
RPT-100829,24-10-2025,16-10-2025,18:28,Kolkata,E505,Robbery,26,Female,Knife,Cyber,25,No,,22.56849634,88.36712665
RPT-100830,04-12-2024,01-12-2024,23:57,Bangalore,G707,Theft,65,Female,None,Commercial,7,No,,12.9689258,77.57869427
RPT-100831,11-02-2025,03-02-2025,18:20,Delhi,F606,Burglary,27,Other,None,Commercial,16,No,,28.69841677,77.08332902
RPT-100832,07-03-2025,28-02-2025,00:26,Mumbai,D404,Kidnapping,29,Female,Unknown,Transport,20,Yes,24:39.5,19.08811604,72.87383627
RPT-100833,20-09-2025,08-09-2025,00:36,Delhi,C303,Theft,10,Male,Gun,Residential,30,Yes,24:39.5,28.71146725,77.08267036
RPT-100834,05-04-2025,23-03-2025,13:50,Chennai,C303,Burglary,25,Female,Unknown,Cyber,20,Yes,24:39.5,13.06766163,80.28627827
RPT-100835,02-12-2024,24-11-2024,23:52,Hyderabad,C303,Fraud,36,Male,Blunt Object,Private,28,No,,17.39118209,78.47439098
RPT-100836,06-08-2025,25-07-2025,11:11,Chennai,G707,Burglary,34,Female,Poison,Cyber,21,Yes,24:39.5,13.06563031,80.25194074
RPT-100837,28-11-2024,21-11-2024,17:55,Pune,A101,Kidnapping,24,Other,Gun,Public,9,Yes,24:39.5,18.5324056,73.87615043
RPT-100838,27-10-2025,20-10-2025,22:50,Delhi,E505,Fraud,53,Other,Poison,Public,6,No,,28.7123638,77.10313988
RPT-100839,26-03-2025,25-03-2025,00:49,Kolkata,A101,Cyber Crime,27,Female,Unknown,Public,12,Yes,24:39.5,22.59145083,88.3579654
RPT-100840,24-06-2025,15-06-2025,15:18,Bangalore,E505,Theft,69,Female,Unknown,Commercial,20,No,,12.97422211,77.59036933
RPT-100841,24-01-2025,19-01-2025,02:16,Kolkata,B202,Fraud,42,Female,Knife,Transport,30,No,,22.59185454,88.35960116
RPT-100842,12-07-2025,07-07-2025,00:38,Chennai,C303,Theft,72,Other,Blunt Object,Cyber,7,Yes,24:39.5,13.07292331,80.28697861
RPT-100843,24-10-2025,13-10-2025,21:13,Kolkata,F606,Cyber Crime,57,Female,Unknown,Public,22,Yes,24:39.5,22.56302553,88.35483076
RPT-100844,14-12-2024,02-12-2024,13:59,Hyderabad,C303,Assault,31,Other,Unknown,Public,22,No,,17.40243411,78.47663774
RPT-100845,23-08-2025,15-08-2025,00:56,Kolkata,D404,Robbery,80,Other,Unknown,Private,9,No,,22.58155512,88.35077637
RPT-100846,06-04-2025,26-03-2025,00:49,Kolkata,D404,Robbery,78,Other,None,Public,4,Yes,24:39.5,22.58434352,88.35190893
RPT-100847,29-11-2024,19-11-2024,07:27,Chennai,A101,Kidnapping,65,Female,Unknown,Commercial,11,No,,13.08431576,80.2760871
RPT-100848,16-12-2024,01-12-2024,00:58,Kolkata,F606,Robbery,49,Other,Knife,Cyber,10,No,,22.55370067,88.35210256
RPT-100849,17-05-2025,06-05-2025,06:33,Bangalore,E505,Theft,22,Male,None,Cyber,8,No,,12.98240508,77.60455831
RPT-100850,18-04-2025,04-04-2025,10:18,Chennai,G707,Cyber Crime,71,Female,Unknown,Residential,27,No,,13.09306559,80.25978706
RPT-100851,11-11-2025,31-10-2025,23:27,Delhi,A101,Kidnapping,56,Other,None,Residential,6,No,,28.68670887,77.1011537
RPT-100852,11-04-2025,10-04-2025,10:26,Kolkata,E505,Assault,58,Female,Knife,Transport,14,Yes,24:39.5,22.55765219,88.3579928
RPT-100853,04-05-2025,25-04-2025,12:06,Chennai,G707,Robbery,38,Other,Knife,Transport,21,Yes,24:39.5,13.0666517,80.2864725
RPT-100854,08-12-2024,04-12-2024,05:41,Kolkata,D404,Fraud,51,Other,Unknown,Commercial,14,No,,22.56439518,88.35637024
RPT-100855,18-04-2025,12-04-2025,10:23,Kolkata,F606,Robbery,27,Male,Knife,Private,24,No,,22.57713043,88.3638524
RPT-100856,26-06-2025,17-06-2025,11:28,Bangalore,D404,Kidnapping,57,Other,Blunt Object,Public,13,No,,12.97240808,77.6013487
RPT-100857,09-01-2025,30-12-2024,21:38,Mumbai,F606,Fraud,70,Female,Blunt Object,Public,23,Yes,24:39.5,19.07197833,72.8946281
RPT-100858,28-11-2024,23-11-2024,05:20,Mumbai,A101,Burglary,47,Female,Poison,Private,8,No,,19.05654089,72.89032832
RPT-100859,11-11-2024,05-11-2024,05:21,Hyderabad,F606,Kidnapping,66,Male,Knife,Transport,19,Yes,24:39.5,17.39113449,78.50117657
RPT-100860,15-05-2025,01-05-2025,07:07,Delhi,D404,Burglary,30,Male,None,Private,6,No,,28.69671324,77.10636426
RPT-100861,22-01-2025,13-01-2025,12:45,Delhi,C303,Kidnapping,56,Other,Unknown,Cyber,24,Yes,24:39.5,28.7236399,77.08428692
RPT-100862,11-07-2025,05-07-2025,08:46,Kolkata,D404,Robbery,18,Male,Unknown,Residential,10,No,,22.56392607,88.35452197
RPT-100863,30-11-2024,21-11-2024,23:09,Bangalore,B202,Robbery,24,Female,None,Cyber,19,Yes,24:39.5,12.98370046,77.58201461
RPT-100864,04-10-2025,02-10-2025,17:10,Delhi,A101,Fraud,68,Male,Gun,Commercial,13,No,,28.71487444,77.1023299
RPT-100865,30-10-2025,16-10-2025,15:29,Delhi,E505,Theft,57,Female,Knife,Residential,5,Yes,24:39.5,28.71763871,77.09683488
RPT-100866,14-01-2025,04-01-2025,07:37,Kolkata,E505,Cyber Crime,36,Other,None,Commercial,1,Yes,24:39.5,22.55498905,88.37223396
RPT-100867,19-02-2025,16-02-2025,07:00,Kolkata,C303,Assault,46,Other,Knife,Commercial,9,No,,22.56221164,88.36600236
RPT-100868,23-02-2025,21-02-2025,07:16,Chennai,E505,Cyber Crime,55,Male,Poison,Public,14,Yes,24:39.5,13.08856934,80.28266331
RPT-100869,05-08-2025,31-07-2025,17:36,Mumbai,A101,Burglary,78,Male,Knife,Private,26,No,,19.07602892,72.87454932
RPT-100870,05-07-2025,30-06-2025,09:43,Chennai,C303,Theft,19,Other,Knife,Private,27,No,,13.07090935,80.25457965
